id;name;address;phone;specialization
1;Sleek bluetooth;Legacy yellow teal;1-717-810-8865;Intelligent content TCP
2;azure;Tools;1-381-597-1350 x45236;Rustic violet Research
3;deposit Multi-channelled Soap;initiative feed;946-736-4668;firmware Buckinghamshire
4;Cheese national Executive;functionalities Brazil;319-646-0949 x4321;Dynamic capacitor
5;architectures Saint Tasty;gold interfaces;749.347.9213;Garden Kids Parkway
6;Future Island Senior;Health Account Granite;1-295-552-8666;Borders model
7;payment Soft Cambridgeshire;Equatorial Dollar;(378) 503-9017;Loan Implementation invoice
8;Islands Chair calculate;Kids Engineer hack;1-842-928-1140;cyan up
9;payment Regional;syndicate;(569) 755-9561 x0594;firewall
10;Outdoors;Bedfordshire;(208) 337-3724;HTTP
